S.No.,Organization Code,Organization Name,Organization Type,Parent Organization Code,Parent Organization Name,Parent Organization Type,State Code,State Name
27.0,641,Economic & Statistical Organisation,Department,,,,6,HARYANA
28.0,635,Elections Department,Department,,,,6,HARYANA
29.0,636,Electronics & Information Technology Department,Department,,,,6,HARYANA
30.0,634,Elementary Education Department,Department,,,,6,HARYANA
31.0,637,Employment Department,Department,,,,6,HARYANA
32.0,638,Environment Department,Department,,,,6,HARYANA
33.0,682,ESI Healthcare,Department,,,,6,HARYANA
34.0,639,Excise & Taxation Department,Department,,,,6,HARYANA
35.0,640,Finance Department,Department,,,,6,HARYANA
36.0,643,Fisheries Department,Department,,,,6,HARYANA
37.0,681,Food & Drug Administration,Department,,,,6,HARYANA
38.0,644,Food & Supplies Department,Department,,,,6,HARYANA
39.0,645,Forests Department,Department,,,,6,HARYANA
40.0,2269,General Administration Department,Department,,,,6,HARYANA
41.0,1255,Haryana Right to Service Commission,Department,,,,6,HARYANA
42.0,727,Haryana Shahari Vikas Pradhikaran,Department,,,,6,HARYANA
43.0,674,Haryana State Legal Services Authority,Department,,,,6,HARYANA
44.0,646,Health Services Department,Department,,,,6,HARYANA
45.0,633,Higher Education Department,Department,,,,6,HARYANA
46.0,673,Home Guards & Civil Defence,Department,,,,6,HARYANA
47.0,647,Horticulture Department,Department,,,,6,HARYANA
48.0,781,Housing Department,Department,,,,6,HARYANA
49.0,649,Indl. Trg. & Vocational Education Department,Department,,,,6,HARYANA
50.0,648,Industries & Commerce Department,Department,,,,6,HARYANA
51.0,656,"Information, Public Relations and Languages Department",Department,,,,6,HARYANA
52.0,650,Irrigation Department,Department,,,,6,HARYANA
53.0,651,Labour Department,Department,,,,6,HARYANA
54.0,2018,Local Audit Department Haryana,Department,,,,6,HARYANA
55.0,652,Police Department,Department,,,,6,HARYANA
56.0,754,Printing and Stationery Department,Department,,,,6,HARYANA
57.0,653,Prisons Department,Department,,,,6,HARYANA
58.0,654,Prosecution,Department,,,,6,HARYANA
59.0,666,Public Health Engineering Department,Department,,,,6,HARYANA
60.0,657,Public Works Department,Department,,,,6,HARYANA
61.0,655,PW ( B & R),Department,,,,6,HARYANA
62.0,675,Renewable Energy,Department,,,,6,HARYANA
63.0,658,Revenue and Disaster Management Department,Department,,,,6,HARYANA
64.0,659,Rural Development Department,Department,,,,6,HARYANA
65.0,946,Sainik & Ardh Sainik Welfare Department,Department,,,,6,HARYANA
66.0,642,Secondary Education Department,Department,,,,6,HARYANA
67.0,676,Social Justice & Empowerment,Department,,,,6,HARYANA
68.0,678,Sports & Youth Affairs,Department,,,,6,HARYANA
69.0,679,Supplies & Disposals,Department,,,,6,HARYANA
70.0,680,Tech. Education,Department,,,,6,HARYANA
71.0,8,Test Department,Department,,,,6,HARYANA
72.0,660,Tourism Department,Department,,,,6,HARYANA
73.0,661,Town & Country Plg. Department,Department,,,,6,HARYANA
74.0,662,Transport Department,Department,,,,6,HARYANA
75.0,669,Transport( Regulatory Wing),Department,,,,6,HARYANA
76.0,663,Treasuries & Accounts Department,Department,,,,6,HARYANA
77.0,731,Uttar Haryana Bijli Vitran Nigam,Department,,,,6,HARYANA
78.0,664,Vigilance Department,Department,,,,6,HARYANA
79.0,677,Welfare of SCs & BCs,Department,,,,6,HARYANA
80.0,665,Women and Child Development Department,Department,,,,6,HARYANA
81.0,784,Board of School Education Haryana,Organization,642,Secondary Education Department,Department,6,HARYANA
82.0,1461,Chief Minister Relief Fund,Organization,1460,Chief Minister Secretariat,Department,6,HARYANA
83.0,787,Extension Training Center,Organization,465,Development and Panchayats Department,Department,6,HARYANA
84.0,786,Haryana Backward Classes and Economically Weaker Sections Kalyan Nigam,Organization,677,Welfare of SCs & BCs,Department,6,HARYANA
85.0,2489,Haryana Gau Seva Aayog,Organization,629,Animal Husbandry & Dairying Department,Department,6,HARYANA
86.0,623,Haryana Institute of Public Administration,Organization,465,Development and Panchayats Department,Department,6,HARYANA
87.0,106,Haryana Institute of Rural Development,Organization,465,Development and Panchayats Department,Department,6,HARYANA
88.0,783,Haryana Scheduled Castes Finance and Development Corporation,Organization,677,Welfare of SCs & BCs,Department,6,HARYANA
89.0,756,Haryana State Agricultural Marketing Board,Organization,628,Agriculture Department,Department,6,HARYANA
90.0,2129,Haryana State Seed Certification Agency,Organization,628,Agriculture Department,Department,6,HARYANA
91.0,948,Haryana Swatantrata Sainani Samman Samiti,Organization,799,Chief Secretary Office,Department,6,HARYANA
92.0,2287,Haryana Veterinary Council,Organization,629,Animal Husbandry & Dairying Department,Department,6,HARYANA
93.0,802,Haryana Women Development Corporation,Organization,665,Women and Child Development Department,Department,6,HARYANA
94.0,782,Housing Board Haryana,Organization,781,Housing Department,Department,6,HARYANA
95.0,549,Rajiv Gandhi State Institue of Community Development & Panchayati Raj,Organization,465,Development and Panchayats Department,Department,6,HARYANA
96.0,837,SAMVAD,Organization,656,"Information, Public Relations and Languages Department",Department,6,HARYANA
1.0,1362,Department of Administrative Reforms,Department,,,,2,HIMACHAL PRADESH
2.0,264,Department of Agriculture,Department,,,,2,HIMACHAL PRADESH
3.0,232,Department of Agriculture,Department,,,,2,HIMACHAL PRADESH
4.0,273,Department of Animal Husbandry,Department,,,,2,HIMACHAL PRADESH
5.0,708,Department of Ayurveda,Department,,,,2,HIMACHAL PRADESH
6.0,1356,Department of Cooperation,Department,,,,2,HIMACHAL PRADESH
7.0,397,Department of Elementary Education,Department,,,,2,HIMACHAL PRADESH
8.0,1363,Department of Energy,Department,,,,2,HIMACHAL PRADESH
9.0,1364,"Department of Environment, Science and Technology",Department,,,,2,HIMACHAL PRADESH
10.0,1365,Department of Excise and Taxation,Department,,,,2,HIMACHAL PRADESH
11.0,1357,Department of finance,Department,,,,2,HIMACHAL PRADESH
12.0,692,DEPARTMENT OF FIRE SERVICES,Department,,,,2,HIMACHAL PRADESH
13.0,1366,Department of Fisheries,Department,,,,2,HIMACHAL PRADESH
14.0,1367,Department of General Administration,Department,,,,2,HIMACHAL PRADESH
15.0,269,Department of Health and Family Welfare,Department,,,,2,HIMACHAL PRADESH
16.0,230,Department of Health And Family Welfare,Department,,,,2,HIMACHAL PRADESH
17.0,396,Department of Higher Education,Department,,,,2,HIMACHAL PRADESH
18.0,1368,Department of Home,Department,,,,2,HIMACHAL PRADESH
19.0,267,Department of Horticulture,Department,,,,2,HIMACHAL PRADESH
20.0,272,Department of Industries,Department,,,,2,HIMACHAL PRADESH
21.0,1369,Department of Information and Public Relations,Department,,,,2,HIMACHAL PRADESH
22.0,1370,Department of Information Technology,Department,,,,2,HIMACHAL PRADESH
23.0,270,Department of Irrigation Public Health (IPH),Department,,,,2,HIMACHAL PRADESH
24.0,1371,Department of Labour and Employment,Department,,,,2,HIMACHAL PRADESH
25.0,1650,"Department of Language, Art and Culture",Department,,,,2,HIMACHAL PRADESH
26.0,1372,Department of Law,Department,,,,2,HIMACHAL PRADESH
27.0,1373,Department of Personnel,Department,,,,2,HIMACHAL PRADESH
28.0,1374,Department of Planning,Department,,,,2,HIMACHAL PRADESH
29.0,1375,Department of Printing and Stationery,Department,,,,2,HIMACHAL PRADESH
30.0,1376,Department of Public Works,Department,,,,2,HIMACHAL PRADESH
31.0,1358,Department of Redressal of Public Grievances,Department,,,,2,HIMACHAL PRADESH
32.0,1152,Department of Revenue,Department,,,,2,HIMACHAL PRADESH
33.0,263,Department of Rural Development,Department,,,,2,HIMACHAL PRADESH
34.0,265,Department of Rural Development (TSC Wing),Department,,,,2,HIMACHAL PRADESH
35.0,1377,Department of Secretariat Administration,Department,,,,2,HIMACHAL PRADESH
36.0,398,Department of Social Justice and Empowerment,Department,,,,2,HIMACHAL PRADESH
37.0,1378,Department of Technical Education,Department,,,,2,HIMACHAL PRADESH
38.0,1379,Department of Tourism,Department,,,,2,HIMACHAL PRADESH
39.0,1294,Department of Tourism & Civil Aviation,Department,,,,2,HIMACHAL PRADESH
40.0,1380,Department of Town and Country planning,Department,,,,2,HIMACHAL PRADESH
41.0,1359,Department of Transport,Department,,,,2,HIMACHAL PRADESH
42.0,1360,Department of Tribal Development,Department,,,,2,HIMACHAL PRADESH
43.0,1361,Department of Youth Services and Sports,Department,,,,2,HIMACHAL PRADESH
44.0,276,Dept. of Social Justice Empowerment,Department,,,,2,HIMACHAL PRADESH
45.0,1666,Directorate of Panchayati Raj,Department,,,,2,HIMACHAL PRADESH
46.0,271,District Rural Development Agency (Watershed),Department,,,,2,HIMACHAL PRADESH
47.0,266,DRDA (IAY Wing),Department,,,,2,HIMACHAL PRADESH
48.0,1154,Economics & Statistics,Department,,,,2,HIMACHAL PRADESH
49.0,832,Election Commission,Department,,,,2,HIMACHAL PRADESH
50.0,1151,"Food, Civil Supplies & Consumer Affairs",Department,,,,2,HIMACHAL PRADESH
51.0,395,"Forest Department,",Department,,,,2,HIMACHAL PRADESH
52.0,274,Himachal Pradesh Public Works Department,Department,,,,2,HIMACHAL PRADESH
53.0,697,Himachal Pradesh State Department of Revenue,Department,,,,2,HIMACHAL PRADESH
54.0,275,H.P State Electricity Board,Department,,,,2,HIMACHAL PRADESH
55.0,268,Integrated Child Development Scheme (ICDS),Department,,,,2,HIMACHAL PRADESH
56.0,229,Panchayati Raj,Department,,,,2,HIMACHAL PRADESH
57.0,231,Rural Development Department,Department,,,,2,HIMACHAL PRADESH
58.0,2528,Sainik Welfare Department,Department,,,,2,HIMACHAL PRADESH
59.0,233,State Department of Horticulture,Department,,,,2,HIMACHAL PRADESH
60.0,2332,State Water & Sanitation Mission Shimla,Department,,,,2,HIMACHAL PRADESH
61.0,4,Test Department,Department,,,,2,HIMACHAL PRADESH
62.0,831,Urban Development Department,Department,,,,2,HIMACHAL PRADESH
63.0,1153,Women & Child Development,Department,,,,2,HIMACHAL PRADESH
64.0,2538,Panchayati Raj Training Institute Baijnath Kangra,Organization,1666,Directorate of Panchayati Raj,Department,2,HIMACHAL PRADESH
65.0,2539,Panchayati Raj Training Institute Thunag Mandi,Organization,1666,Directorate of Panchayati Raj,Department,2,HIMACHAL PRADESH
66.0,2491,Panchayat Raj Training Institute  Mashobra(Craigneno) Shimla,Organization,1666,Directorate of Panchayati Raj,Department,2,HIMACHAL PRADESH
67.0,102,SIRD,Organization,229,Panchayati Raj,Department,2,HIMACHAL PRADESH
1.0,258,Departemnt of Youth Services Sports,Department,,,,1,JAMMU AND KASHMIR
2.0,262,Department of Agriculture,Department,,,,1,JAMMU AND KASHMIR
3.0,251,Department of Animal Husbandry,Department,,,,1,JAMMU AND KASHMIR
4.0,1072,Department of Defence,Department,,,,1,JAMMU AND KASHMIR
5.0,256,"Department of Divisional Forest Office, Langate",Department,,,,1,JAMMU AND KASHMIR
6.0,255,Department of Divisional Forest Officer,Department,,,,1,JAMMU AND KASHMIR
7.0,394,Department of Education,Department,,,,1,JAMMU AND KASHMIR
8.0,393,Department of Education,Department,,,,1,JAMMU AND KASHMIR
9.0,1074,Department of Finance,Department,,,,1,JAMMU AND KASHMIR
10.0,228,Department of Fisheries,Department,,,,1,JAMMU AND KASHMIR
11.0,1071,"Department of Food, Civil Supplies & Consumer Affairs",Department,,,,1,JAMMU AND KASHMIR
12.0,257,Department of Forest,Department,,,,1,JAMMU AND KASHMIR
13.0,1076,Department of Handicraft,Department,,,,1,JAMMU AND KASHMIR
14.0,1077,Department of Handlooms,Department,,,,1,JAMMU AND KASHMIR
15.0,260,Department of Health,Department,,,,1,JAMMU AND KASHMIR
16.0,704,Department of Home Affairs (Police),Department,,,,1,JAMMU AND KASHMIR
17.0,533,Department of Industries and Commerce,Department,,,,1,JAMMU AND KASHMIR
18.0,1078,Department of Information and Public Relation,Department,,,,1,JAMMU AND KASHMIR
19.0,534,Department of Irrigation and Flood Control,Department,,,,1,JAMMU AND KASHMIR
20.0,1079,Department of ISM,Department,,,,1,JAMMU AND KASHMIR
21.0,1081,Department of Khadi and village industries board,Department,,,,1,JAMMU AND KASHMIR
22.0,1073,Department of Labour and Employment,Department,,,,1,JAMMU AND KASHMIR
23.0,937,Department of Panchayati Raj,Department,,,,1,JAMMU AND KASHMIR
24.0,252,Department of Power Development,Department,,,,1,JAMMU AND KASHMIR
25.0,250,Department of Public Health Engineering,Department,,,,1,JAMMU AND KASHMIR
26.0,1558,Department of Revenue,Department,,,,1,JAMMU AND KASHMIR
27.0,703,Department of Revenue and General Administration,Department,,,,1,JAMMU AND KASHMIR
28.0,261,Department of Sericulture Development,Department,,,,1,JAMMU AND KASHMIR
29.0,253,Department of Sheep Husbandry,Department,,,,1,JAMMU AND KASHMIR
30.0,532,Department of Social Welfare,Department,,,,1,JAMMU AND KASHMIR
31.0,2336,Department of Social Welfare J and K,Department,,,,1,JAMMU AND KASHMIR
32.0,254,Department of Statistics Evaluation,Department,,,,1,JAMMU AND KASHMIR
33.0,1083,Department of technical Education,Department,,,,1,JAMMU AND KASHMIR
34.0,259,Department of Youth Services Sports,Department,,,,1,JAMMU AND KASHMIR
35.0,2335,Directorate of Audit and Inspection,Department,,,,1,JAMMU AND KASHMIR
36.0,2256,Directorate of Audit and Inspections,Department,,,,1,JAMMU AND KASHMIR
37.0,2334,Directorate of Audit & Inspections J&K,Department,,,,1,JAMMU AND KASHMIR
38.0,2116,Directorate of Local Fund Audit and Pension (Finance Department),Department,,,,1,JAMMU AND KASHMIR
39.0,1557,"Disaster Management Relief, Rehabilitation and Reconstruction Department",Department,,,,1,JAMMU AND KASHMIR
40.0,834,Election Commission,Department,,,,1,JAMMU AND KASHMIR
41.0,1075,"Flouriculture, Garden & Park Department",Department,,,,1,JAMMU AND KASHMIR
42.0,1620,General Administration Department,Department,,,,1,JAMMU AND KASHMIR
43.0,1070,J&K Cooperatives Department,Department,,,,1,JAMMU AND KASHMIR
44.0,2279,JK Integrated Child Development Service,Department,,,,1,JAMMU AND KASHMIR
45.0,1084,J&K Tourism,Department,,,,1,JAMMU AND KASHMIR
46.0,1080,Khadi and Village Industries Board,Department,,,,1,JAMMU AND KASHMIR
47.0,1082,Planning development & Monitoring Department,Department,,,,1,JAMMU AND KASHMIR
48.0,391,Public Works Department (PWD),Department,,,,1,JAMMU AND KASHMIR
49.0,392,Rural Development Department,Department,,,,1,JAMMU AND KASHMIR
50.0,3,Test Department,Department,,,,1,JAMMU AND KASHMIR
51.0,1085,Transport Department,Department,,,,1,JAMMU AND KASHMIR
52.0,833,Urban Development Department,Department,,,,1,JAMMU AND KASHMIR
53.0,2178,Architect’s Organization J&K,Organization,833,Urban Development Department,Department,1,JAMMU AND KASHMIR
54.0,101,IMPARD SRINAGAR,Organization,392,Rural Development Department,Department,1,JAMMU AND KASHMIR
55.0,2171,Jammu Development Authority,Organization,833,Urban Development Department,Department,1,JAMMU AND KASHMIR
56.0,2180,J&K Housing Board,Organization,833,Urban Development Department,Department,1,JAMMU AND KASHMIR
57.0,2172,Lakes and Waterways Development Authority,Organization,833,Urban Development Department,Department,1,JAMMU AND KASHMIR
58.0,2174,Sringar Development Authority,Organization,833,Urban Development Department,Department,1,JAMMU AND KASHMIR
59.0,2179,State Urban Development Agency,Organization,833,Urban Development Department,Department,1,JAMMU AND KASHMIR
60.0,2176,Town Planning Organization Jammu,Organization,833,Urban Development Department,Department,1,JAMMU AND KASHMIR
61.0,2177,Town Planning Organization Kashmir,Organization,833,Urban Development Department,Department,1,JAMMU AND KASHMIR
62.0,2175,Urban Environmental Engineering Department,Organization,833,Urban Development Department,Department,1,JAMMU AND KASHMIR
1.0,310,Building Cnstruction Department,Department,,,,20,JHARKHAND
2.0,299,Department of Agriculture,Department,,,,20,JHARKHAND
3.0,300,Department of Animal Husbandry,Department,,,,20,JHARKHAND
4.0,308,Department of Forest and Environment,Department,,,,20,JHARKHAND
5.0,1505,"Department of Home , Jail and Disaster management",Department,,,,20,JHARKHAND
6.0,590,Department of Labour and Employment,Department,,,,20,JHARKHAND
7.0,938,Department of Panchayati Raj,Department,,,,20,JHARKHAND
8.0,593,"Department of Personnel, Administrative Reforms and Raj Bhasa",Department,,,,20,JHARKHAND
9.0,554,DEPARTMENT OF REVENUE,Department,,,,20,JHARKHAND
10.0,547,Department of Revenue and Land Reforms,Department,,,,20,JHARKHAND
11.0,2500,Department of  Tourism Arts  Culture Sports and Youth Affairs,Department,,,,20,JHARKHAND
12.0,2501,Department of Women Child Development and  Social Security,Department,,,,20,JHARKHAND
13.0,1040,"Dept of Social Welfare, WCD",Department,,,,20,JHARKHAND
14.0,2510,Directorate of Agriculture,Department,,,,20,JHARKHAND
15.0,2503,Directorate of Fishery,Department,,,,20,JHARKHAND
16.0,1667,DIRECTORATE OF LOCAL FUND AUDIT,Department,,,,20,JHARKHAND
17.0,2207,DISTRICT ADMINISTRATION JHARKHAND,Department,,,,20,JHARKHAND
18.0,301,District Planning Department,Department,,,,20,JHARKHAND
19.0,303,Drinking Water Sanitation Department,Department,,,,20,JHARKHAND
20.0,306,Education Department,Department,,,,20,JHARKHAND
21.0,836,Election Commission,Department,,,,20,JHARKHAND
22.0,313,Gramin Karya Vibhag Karya Parmandal,Department,,,,20,JHARKHAND
23.0,312,Gramin Vikas Special Division,Department,,,,20,JHARKHAND
24.0,307,Health and Family Welfare,Department,,,,20,JHARKHAND
25.0,302,Jharkhand State Electricity Board,Department,,,,20,JHARKHAND
26.0,314,MESO,Department,,,,20,JHARKHAND
27.0,311,MINOR IRRIGATION,Department,,,,20,JHARKHAND
28.0,309,Rural Development,Department,,,,20,JHARKHAND
29.0,304,Rural Engg. Department,Department,,,,20,JHARKHAND
30.0,22,Test Department,Department,,,,20,JHARKHAND
31.0,835,Urban Development Department,Department,,,,20,JHARKHAND
32.0,305,Water Resources,Department,,,,20,JHARKHAND
33.0,594,Shri Krishna Institute of Public Administration,Organization,593,"Department of Personnel, Administrative Reforms and Raj Bhasa",Department,20,JHARKHAND
34.0,315,SIRD,Organization,309,Rural Development,Department,20,JHARKHAND
1.0,1299,Agriculture Department,Department,,,,29,KARNATAKA
2.0,358,ART AND CULTURE LIBRARY,Department,,,,29,KARNATAKA
3.0,1317,Backward Classes Department,Department,,,,29,KARNATAKA
4.0,1062,Bangalore Development Authority,Department,,,,29,KARNATAKA
5.0,1521,Bangalore Water Supply and Sewerage Board,Department,,,,29,KARNATAKA
6.0,2098,BMTC,Department,,,,29,KARNATAKA
7.0,2344,Bruhat Bengaluru Mahanagara Palike(BBMP),Department,,,,29,KARNATAKA
8.0,2545,Centre for e-Governance(CeG),Department,,,,29,KARNATAKA
9.0,1328,Chief Minister Relief Fund (CMRF),Department,,,,29,KARNATAKA
10.0,1302,C&I,Department,,,,29,KARNATAKA
11.0,1410,Commerce and Industries,Department,,,,29,KARNATAKA
12.0,355,CO-OPERATION DEPARTMENT,Department,,,,29,KARNATAKA
13.0,2119,Department of Agricultural Marketing,Department,,,,29,KARNATAKA
14.0,1277,Department of Animal Husbandry and Veterinary Services,Department,,,,29,KARNATAKA
15.0,2168,Department of Archives,Department,,,,29,KARNATAKA
16.0,1024,"Department of Ayurveda, Yoga, Naturopathy, Unani, Siddha and Homeopathy",Department,,,,29,KARNATAKA
17.0,1280,Department of Electrical Inspectorate,Department,,,,29,KARNATAKA
18.0,1297,Department of Factories Boilers Industrial Safety & Health,Department,,,,29,KARNATAKA
19.0,1172,Department of Higher Education,Department,,,,29,KARNATAKA
20.0,2536,Department of Home Affairs,Department,,,,29,KARNATAKA
21.0,1281,Department of Horticulture,Department,,,,29,KARNATAKA
22.0,1550,Department of Industrial Training and Employment,Department,,,,29,KARNATAKA
23.0,1000,Department of Information and Public Relations,Department,,,,29,KARNATAKA
24.0,1247,Department of Information Technology,Department,,,,29,KARNATAKA
25.0,947,Department of Kannada & Culture,Department,,,,29,KARNATAKA
26.0,2544,Department of Karnataka Bhavan,Department,,,,29,KARNATAKA
27.0,1061,Department of Labour,Department,,,,29,KARNATAKA
28.0,1106,Department of Medical Education,Department,,,,29,KARNATAKA
29.0,1230,Department of Mines and Geology,Department,,,,29,KARNATAKA
30.0,989,Department of Personnel & Administrative Reforms,Department,,,,29,KARNATAKA
31.0,1658,Department of Pre University Education,Department,,,,29,KARNATAKA
32.0,1272,Department of Public Instruction,Department,,,,29,KARNATAKA
33.0,1296,Department of Public Library,Department,,,,29,KARNATAKA
34.0,1757,Department of Sainik Welfare and Resettlement,Department,,,,29,KARNATAKA
35.0,2017,Department of Tribal Welfare,Department,,,,29,KARNATAKA
36.0,1107,Department of Water Resources,Department,,,,29,KARNATAKA
37.0,1023,Department of Youth Empowerment and Sports,Department,,,,29,KARNATAKA
38.0,2131,Directorate of Economics and Statistics,Department,,,,29,KARNATAKA
39.0,2170,Directorate of Electronic Delivery of Citizen Services(EDCS),Department,,,,29,KARNATAKA
40.0,2016,Directorate of Municipal Administration,Department,,,,29,KARNATAKA
41.0,1304,DPAR,Department,,,,29,KARNATAKA
42.0,2275,Dr Babu Jagjivan Ram Leather Industries Development Corporation Ltd,Department,,,,29,KARNATAKA
43.0,1657,Dr B R Ambedkar Development Corporation Ltd,Department,,,,29,KARNATAKA
44.0,1330,Drugs Control Department,Department,,,,29,KARNATAKA
45.0,90,Education,Department,,,,29,KARNATAKA
46.0,887,Election Commission,Department,,,,29,KARNATAKA
47.0,1104,Energy Department,Department,,,,29,KARNATAKA
48.0,2118,Excise Department,Department,,,,29,KARNATAKA
49.0,354,FISHERIES DEPARTMENT,Department,,,,29,KARNATAKA
50.0,1309,Food & Civil Supplies,Department,,,,29,KARNATAKA
51.0,1416,Forest Department,Department,,,,29,KARNATAKA
52.0,2169,Government Tool Room and Training Centre,Department,,,,29,KARNATAKA
53.0,347,HANDLOOMS AND TEXTILES,Department,,,,29,KARNATAKA
54.0,177,HEALTH AND FAMILY WELFARE,Department,,,,29,KARNATAKA
55.0,2233,High Court of Karnataka,Department,,,,29,KARNATAKA
56.0,2270,Home Guards and Civil Defence Department,Department,,,,29,KARNATAKA
57.0,1311,Housing Department,Department,,,,29,KARNATAKA
58.0,348,INDIAN SYSTEM OF MEDICINE,Department,,,,29,KARNATAKA
59.0,1327,Information Technology BT & ST,Department,,,,29,KARNATAKA
60.0,1278,Karnataka Evaluation Authority,Department,,,,29,KARNATAKA
61.0,1541,Karnataka Housing Board,Department,,,,29,KARNATAKA
62.0,2130,Karnataka Industrial Areas Development Board,Department,,,,29,KARNATAKA
63.0,2481,Karnataka Legislative Assembly,Department,,,,29,KARNATAKA
64.0,930,Karnataka Legislative Council,Department,,,,29,KARNATAKA
65.0,2120,Karnataka Neeravari Nigam Ltd,Department,,,,29,KARNATAKA
66.0,2136,Karnataka Power Transmission Corporation,Department,,,,29,KARNATAKA
67.0,1472,Karnataka Public Service Commission,Department,,,,29,KARNATAKA
68.0,1479,Karnataka Residential Educational Institutions Society,Department,,,,29,KARNATAKA
69.0,87,Karnataka Rural Engineering Services,Department,,,,29,KARNATAKA
70.0,2490,Karnataka State Administrative Tribunal,Department,,,,29,KARNATAKA
71.0,88,Karnataka State Agency Modified,Department,,,,29,KARNATAKA
72.0,2115,Karnataka state audit and accounts department,Department,,,,29,KARNATAKA
73.0,1508,KARNATAKA STATE DIPLOMA IN NURSING EXAMINATION BOA,Department,,,,29,KARNATAKA
74.0,1507,KARNATAKA STATE NURSING COUNCIL,Department,,,,29,KARNATAKA
75.0,1473,Karnataka State Open Univerity Mysore,Department,,,,29,KARNATAKA
76.0,1506,KARNATAKA STATE PARA MEDICAL BOARD,Department,,,,29,KARNATAKA
77.0,1108,Karnataka State Police,Department,,,,29,KARNATAKA
78.0,83,Karnataka State PR Department,Department,,,,29,KARNATAKA
79.0,1408,Karnataka State Road Transport Corporation,Department,,,,29,KARNATAKA
80.0,85,Karnataka State urban Development Department,Department,,,,29,KARNATAKA
81.0,949,Karnataka State Warehousing Corporation,Department,,,,29,KARNATAKA
82.0,1474,KSGH Music and Performing Arts University,Department,,,,29,KARNATAKA
83.0,1482,Law Department,Department,,,,29,KARNATAKA
84.0,1319,Mines Tex & SSI,Department,,,,29,KARNATAKA
85.0,91,MINOR IRRIGATION,Department,,,,29,KARNATAKA
86.0,1318,Minority Welfare Department,Department,,,,29,KARNATAKA
87.0,1326,Munisipalities & UDA Department,Department,,,,29,KARNATAKA
88.0,2238,NCC Directorate,Department,,,,29,KARNATAKA
89.0,1462,NEKRTC,Department,,,,29,KARNATAKA
90.0,1463,NWKRTC,Department,,,,29,KARNATAKA
91.0,1314,Parliamentary Affairs Department,Department,,,,29,KARNATAKA
92.0,1320,Public Enterprises Department,Department,,,,29,KARNATAKA
93.0,1284,"Public Works, Ports and Inland Water Transport Department",Department,,,,29,KARNATAKA
94.0,886,Revenue Department,Department,,,,29,KARNATAKA
95.0,1325,Rural Development & Panchayat Raj,Department,,,,29,KARNATAKA
96.0,1652,Rural Water Supply,Department,,,,29,KARNATAKA
97.0,1310,Secretary  Home (PCAS) Department,Department,,,,29,KARNATAKA
98.0,349,SERICULTURE,Department,,,,29,KARNATAKA
99.0,350,SOCIAL WELFARE,Department,,,,29,KARNATAKA
100.0,31,Test Department,Department,,,,29,KARNATAKA
101.0,1223,Tourism Department,Department,,,,29,KARNATAKA
102.0,1225,Transport Department,Department,,,,29,KARNATAKA
103.0,2163,Treasury Department,Department,,,,29,KARNATAKA
104.0,1322,Water Resources Department,Department,,,,29,KARNATAKA
105.0,352,WOMEN AND CHILD DEVELOPMENT,Department,,,,29,KARNATAKA
106.0,1489,Akkamahadevi University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
107.0,2323,Alemari and Are Alemari Development Corporation,Organization,1317,Backward Classes Department,Department,29,KARNATAKA
108.0,2341,Arya Vysya Development Corporation,Organization,1317,Backward Classes Department,Department,29,KARNATAKA
109.0,1500,Bangalore Central University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
110.0,1494,Bangalore North University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
111.0,1501,Bangalore University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
112.0,1403,BESCOM,Organization,1104,Energy Department,Department,29,KARNATAKA
113.0,2139,Cauvery Neeravari Nigama Limited,Organization,1322,Water Resources Department,Department,29,KARNATAKA
114.0,1404,CESCOM,Organization,1104,Energy Department,Department,29,KARNATAKA
115.0,2141,Command Area Development Authorities (CADA),Organization,1322,Water Resources Department,Department,29,KARNATAKA
116.0,1496,Davangere University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
117.0,2138,D Devaraja Urs Backward Classes Development Corporation Limited,Organization,1317,Backward Classes Department,Department,29,KARNATAKA
118.0,804,Department for Empowerment of Differently Abled and Senior Citizen,Organization,352,WOMEN AND CHILD DEVELOPMENT,Department,29,KARNATAKA
119.0,1209,Department of Collegiate Education,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
120.0,1528,Department of Legal Metrology,Organization,,,Department,29,KARNATAKA
121.0,2140,Directorate of ESIS Medical Services,Organization,,,Department,29,KARNATAKA
122.0,1392,Directorate of Social Security and Pensions,Organization,886,Revenue Department,Department,29,KARNATAKA
123.0,1173,Directorate of Technical Education,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
124.0,2326,Directorate of Urban Land Transport - DULT,Organization,85,Karnataka State urban Development Department,Department,29,KARNATAKA
125.0,2546,Farmer Registration and Unified beneficiary InformaTion System(FRUITS),Organization,2545,Centre for e-Governance(CeG),Department,29,KARNATAKA
126.0,2537,Fire and Emergency Service,Organization,2536,Department of Home Affairs,Department,29,KARNATAKA
127.0,1405,GESCOM,Organization,1104,Energy Department,Department,29,KARNATAKA
128.0,1498,Gulbarga University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
129.0,1406,HESCOM,Organization,1104,Energy Department,Department,29,KARNATAKA
130.0,1491,Kannada University -Hampi,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
