S.No.,Organization Code,Organization Name,Organization Type,Parent Organization Code,Parent Organization Name,Parent Organization Type
273.0,2067,"Jayshree Maruti Nandan Kissan Vikas Education Trust, Gujarat.",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
274.0,2420,Jivan Vikas Samajak Bhuu Panlot Sanstha Yavatmal Maharashtra (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
275.0,2080,"Jodhpur Manav Kalyan Seva Sangh, Jodhpur",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
276.0,2421,JPS Foundations Lucknow Uttar Pradesh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
277.0,2028,"Kalyanam Karoti, Mathura, UP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
278.0,1688,KARNATAKA ANTIBIOTICS & PHARMACEUTICALS LTD.,Organization,1586,Department Of Pharmaceuticals,Department
279.0,1723,KARNATAKA TRADE PROMOTION ORGANISATION,Organization,1588,Department Of Commerce,Department
280.0,2068,"Kerala State Handicapped Welfare Corporation, Kerala",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
281.0,2422,Krushi Vikas va Gramin Prashikshan Sanstha Buldana Maharashtra (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
282.0,1196,Life India Insurance,Organization,1174,Department of Financial Service,Department
283.0,1679,MADRAS FERTILIZERS LTD.,Organization,1585,Department Of Fertilizers,Department
284.0,1733,MAHANAGAR TELEPHONE NIGAM LTD.,Organization,1066,Department of Telecommunication,Department
285.0,2308,MAHARASHTRA ANTIBIOTICS & PHARMACEUTICALS LTD,Organization,1586,Department Of Pharmaceuticals,Department
286.0,2368,Maharashtra Environmental Engineering Training and Research Academy (MEETRA) Nashik,Organization,1560,Department of Drinking Water and Sanitation,Department
287.0,2423,Maharashtra Gram Darpan Amravati Maharashtra (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
288.0,2034,"Mahatama Gandhi Seva Sangh, Maharashtra",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
289.0,2383,Mahatma Gandhi State Institute of Public Administration Chandigarh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
290.0,1750,MAMC INDUSTRIES LTD.,Organization,1593,Department Of Defence Production,Department
291.0,2077,"Manav Kalyan Mandal, Rajkot, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
292.0,2049,"Manglam, Lucknow",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
293.0,2309,MANIPUR STATE DRUGS & PHAREMACEUTICALS LTD,Organization,1586,Department Of Pharmaceuticals,Department
294.0,2425,Matribhoomi Vikas Parishad Kaushambi UP (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
295.0,1751,MAZAGON DOCK SHIPBUILDERS LTD.,Organization,1593,Department Of Defence Production,Department
296.0,2074,"Medical Care Centre, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
297.0,2073,"Medical Care Centre, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
298.0,1734,MILLENNIUM TELECOM LTD.,Organization,1066,Department of Telecommunication,Department
299.0,1752,MISHRA DHATU NIGAM LTD.,Organization,1593,Department Of Defence Production,Department
300.0,1724,M M T C LTD.,Organization,1588,Department Of Commerce,Department
301.0,2084,"Mobility Aid Centre, Indore, MP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
302.0,2369,Motilal Nehru NIT Allahabad,Organization,1560,Department of Drinking Water and Sanitation,Department
303.0,2029,"Mukti Sansthan, Ranchi",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
304.0,1786,NAGALAND PULP & PAPER COMPANY LTD.,Organization,1602,Department Of Heavy Industry,Department
305.0,1753,NAINI AEROSPACE LTD.,Organization,1593,Department Of Defence Production,Department
306.0,2072,"Narayan Seva Sansthan, Udaipur",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
307.0,1943,NATIONAL BACKWARD CLASSES FINANCE & DEVP.CO.,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
308.0,1203,National Bank for Agriculture and Rural Development,Organization,1174,Department of Financial Service,Department
309.0,2231,"National Centre for Drinking Water, Sanitation and Quality",Organization,1560,Department of Drinking Water and Sanitation,Department
310.0,1680,NATIONAL FERTILIZERS LTD.,Organization,1585,Department Of Fertilizers,Department
311.0,1942,NATIONAL HANDICAPPED FINANCE & DEVPT. CORPN.,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
312.0,1148,National Highways Authority of India,Organization,1147,Department of National Highways,Department
313.0,1205,National Housing Bank,Organization,1174,Department of Financial Service,Department
314.0,625,National Informatics Centre,Organization,510,Ministry of Electronics & Information Technology,Department
315.0,1488,National Informatics Centre Services Inc.(NICSI),Organization,510,Ministry of Electronics & Information Technology,Department
316.0,2025,National Institute for Empowerment of Persons with Multiple Disabilities (NIEPMD)- Chennai,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
317.0,2021,National Institute For Locomotor Disabilities (NILD)-Kolkatta,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
318.0,2426,National Institute for Rural Development Education Social Upliftment and Health Nirdesh Muzaffarpur Bihar (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
319.0,2023,National Institute for the Empowerment of Persons with Intellectual Disabilities (NIEPID)- Secunderabad,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
320.0,2020,National Institute for the Empowerment of Persons with Visual Disabilities (NIEPVD)-Dehradun,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
321.0,2505,National Institute of Rural Development and Panchayati Raj Hyderabad,Organization,1560,Department of Drinking Water and Sanitation,Department
322.0,595,National Institute of Rural Development & Panchayati Raj,Organization,505,Department of Rural Development,Department
323.0,2069,National Institute of Speech and Hearing (NISH)-Kerala,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
324.0,1200,National Insurance Co Ltd.,Organization,1174,Department of Financial Service,Department
325.0,1944,NATIONAL SAFAI KARAMCHARIS FINANCE & DEVPT. CORPN,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
326.0,1945,NATIONAL SCHEDULED CASTES FINANCE & DEVP. CORPN.,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
327.0,1668,National Seeds Corporation limited,Organization,511,Department of Agriculture and Cooperation,Department
328.0,2427,Navnirman Sarv Samaj Hitarth Sanstha Nandurbar Maharashtra(NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
329.0,2429,Nehru Yuwa Sangathan Tisi Fatehpur Uttar Pradesh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
330.0,1787,NEPA LTD.,Organization,1602,Department Of Heavy Industry,Department
331.0,1197,New India Assurance,Organization,1174,Department of Financial Service,Department
332.0,1996,NEWSPACE INDIA LTD.,Organization,1986,DEPT. OF SPACE,Department
333.0,2430,NM Sadguru Water and Development Dohad Gujarat (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
334.0,2036,"North East Voluntary Association of Rural Development, Assam",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
335.0,1991,NPCIL - INDIAN OIL NUCLEAR ENERGY CORPORATION LTD.,Organization,1985,DEPT. OF ATOMIC ENERGY,Department
336.0,1992,NPCIL - NALCO POWER COMPANY LTD.,Organization,1985,DEPT. OF ATOMIC ENERGY,Department
337.0,1993,NUCLEAR POWER CORPN. OF INDIA LTD.,Organization,1985,DEPT. OF ATOMIC ENERGY,Department
338.0,1187,Oriental Bank of commerce,Organization,1174,Department of Financial Service,Department
339.0,1199,Oriental Insurance Company Ltd.,Organization,1174,Department of Financial Service,Department
340.0,1689,ORISSA DRUGS & CHEMICALS LTD.,Organization,1586,Department Of Pharmaceuticals,Department
341.0,1725,P E C LTD.,Organization,1588,Department Of Commerce,Department
342.0,2066,"Perpetual Reconstructive Instt. For Youth Activity, Orrissa",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
343.0,2087,"Prabhat Gramodhog Sansthan, UP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
344.0,1681,PROJECTS & DEVELOPMENT INDIA LTD.,Organization,1585,Department Of Fertilizers,Department
345.0,2432,Pruthvisangram Gramvikas Sangli Maharashtra (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
346.0,2022,Pt. Deendayal Upadhyaya National Institute For Persons with Physical Disabilities (PDUNIPPD)- New Delhi,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
347.0,1189,Punjab National Bank,Organization,1174,Department of Financial Service,Department
348.0,1188,Punjab & Sind Bank,Organization,1174,Department of Financial Service,Department
349.0,2363,Quality Council of India New Delhi,Organization,1560,Department of Drinking Water and Sanitation,Department
350.0,2364,Rajagiri College of Social Sciences Ernakulam,Organization,1560,Department of Drinking Water and Sanitation,Department
351.0,1690,RAJASTHAN DRUGS & PHARMACEUTICALS LTD.,Organization,1586,Department Of Pharmaceuticals,Department
352.0,1788,RAJASTHAN ELECTRONICS AND INSTRUMENTS LTD.,Organization,1602,Department Of Heavy Industry,Department
353.0,1682,RASHTRIYA CHEMICALS AND FERTILIZERS LTD.,Organization,1585,Department Of Fertilizers,Department
354.0,2433,Rastravikash Agro Education Sanstha Jalgaon Maharashtra(NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
355.0,2064,"Ravicherla Integrated Development & Education Society, AP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
356.0,2042,"Rawat Shiksha Samiti, UP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
357.0,2365,Regional Centre For Urban and Environmental Studies Lucknow,Organization,1560,Department of Drinking Water and Sanitation,Department
358.0,2057,Regional Rehabilitation and Research Centre- Orrisa,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
359.0,1213,Reserve Bank of India,Organization,1174,Department of Financial Service,Department
360.0,1789,RICHARDSON & CRUDDAS LTD.,Organization,1602,Department Of Heavy Industry,Department
361.0,2047,"Rogi Kalyan Samiti, Ahmedabad",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
362.0,2143,Rubber Board,Organization,1588,Department Of Commerce,Department
363.0,2053,"Rupahi Kohinoor Club, Assam",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
364.0,2434,Rural Development Society Murgod Belgaum (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
365.0,2435,Sadbhawna Gramin Vikas Sansthan Wardha Maharashtra (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
366.0,2436,Sadhana Educational and Rural Development Society Tumkur Karnataka (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
367.0,2437,Safe Water Network India Delhi (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
368.0,2438,Sahbhagi Shikshan Kendra Lucknow UP (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
369.0,2439,Saiprem Gramin Vikas Sanstha Yavatmal Maharashtra (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
370.0,2375,Salt Lake Institute of Engineering and Management Ltd Kolkatta West Bengal,Organization,1560,Department of Drinking Water and Sanitation,Department
371.0,2441,Samarthan Centre for Development Support Bhopal (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
372.0,2440,Samarth Organisation Trust Mahesana Gujarat (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
373.0,1790,SAMBHAR SALTS LTD.,Organization,1602,Department Of Heavy Industry,Department
374.0,2055,"Sampart Education Society, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
375.0,2079,"Saraswati Educational Society, Moradabad, UP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
376.0,2362,Savitribai Phule Pune University Pune,Organization,1560,Department of Drinking Water and Sanitation,Department
377.0,1791,SCOOTERS INDIA LTD.,Organization,1602,Department Of Heavy Industry,Department
378.0,1758,SECURITY PRINTING & MINTING CORPN. INDIA LTD.,Organization,1597,Department Of Economic Affairs,Department
379.0,2442,Shramik Bharti Kanpur Nagar Uttar Pradesh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
380.0,2054,"Shree Lok Seva Sarvjanik Trust, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
381.0,2076,"Shri Brahma Samaj Seva Trust, Patan ,Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
382.0,2088,"Shrimad Rajchandra Hospital, valsad, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
383.0,2443,Shri Manvel Bardeskar Education Society Kolhapur (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
384.0,2466,Shri Proskills LLP Hyderabad Telangana(NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
385.0,2083,"Shri Ram Bhakt Sansakar Mandal, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
386.0,2370,Shriram Institute for Industrial Research New Delhi,Organization,1560,Department of Drinking Water and Sanitation,Department
387.0,2445,Shroffs Foundation Trust Vadodara Gujarat (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
388.0,2446,Shrushti Seva Samiti Udaipur Rajasthan (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
389.0,2065,"S.K. R. Pupils Welfare Society, AP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
390.0,1204,Small Industries Development Bank of India,Organization,1174,Department of Financial Service,Department
391.0,2447,Society for Peoples Integrated Development Chikkamagaluru Karnataka (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
392.0,2467,Society of Indian Institute for Rural Development Jaipur Rajasthan (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
393.0,2468,Socio Economic Unit Foundation Thiruvananthapuram Kerala (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
394.0,2450,Sosva Training and Promotion Institute Pune Maharashtra (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
395.0,2451,Spectra Organization Alwar Rajasthan (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
396.0,2266,Spices Board,Organization,1588,Department Of Commerce,Department
397.0,1190,State Bank of India,Organization,1174,Department of Financial Service,Department
398.0,1726,STATE TRADING CORPN. OF INDIA LTD.,Organization,1588,Department Of Commerce,Department
399.0,1727,STCL LTD.,Organization,1588,Department Of Commerce,Department
400.0,2452,Students Relief Society Jaipur Rajasthan (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
401.0,2035,Student Welfare Mission Assam,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
402.0,2384,Support for Implementation and Research Lucknow (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
403.0,2062,"Suryodaya Khadi Mission, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
404.0,2453,Swami Vivekananda Youth Movement Mysore Karnataka (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
405.0,2024,Swami Vivekanand National Institute of Rehabilitation Training and Research (SVNIRTAR)-Cuttack,Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
406.0,1191,Syndicate Bank,Organization,1174,Department of Financial Service,Department
407.0,1728,TAMIL NADU TRADE PROMOTION ORGANISATION,Organization,1588,Department Of Commerce,Department
408.0,1735,TCIL BINA TOLL ROAD LTD.,Organization,1066,Department of Telecommunication,Department
409.0,1736,TCIL LAKHNADONE TOLL ROAD LTD.,Organization,1066,Department of Telecommunication,Department
410.0,2540,Tea Board India,Organization,1588,Department Of Commerce,Department
411.0,2454,Technospert Rural Development Trust Parbhani Maharashtra (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
412.0,1737,TELECOMMUNICATIONS CONSULTANTS (INDIA) LTD.,Organization,1066,Department of Telecommunication,Department
413.0,2081,"The All India Institute of Speech and Hearing, Mysore",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
414.0,2469,The Andhyodaya Ernakulum Kerala (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
415.0,2378,The Energy and Resources Institute New Delhi(NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
416.0,1683,THE FERTILIZER CORPN. OF INDIA LTD.,Organization,1585,Department Of Fertilizers,Department
417.0,2456,The Fifth Dimension Academy Gwalior MP (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
418.0,1792,TUNGABHADRA STEEL PRODUCTS LTD.,Organization,1602,Department Of Heavy Industry,Department
419.0,1192,UCO Bank,Organization,1174,Department of Financial Service,Department
420.0,1193,Union Bank of India,Organization,1174,Department of Financial Service,Department
421.0,1194,United Bank of India,Organization,1174,Department of Financial Service,Department
422.0,1198,United Insurance Company Ltd.,Organization,1174,Department of Financial Service,Department
423.0,2376,University of Science and Technology Ri Bhoi Meghalaya,Organization,1560,Department of Drinking Water and Sanitation,Department
424.0,2457,Unnati Organisation for Development Education Ahmedabad Gujarat (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
425.0,2078,"Upasana Jan Kalyan Sewa Samiti, Rampur, UP",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
426.0,1994,URANIUM CORPORATION OF INDIA LTD.,Organization,1985,DEPT. OF ATOMIC ENERGY,Department
427.0,2459,Vibhavari Dewas Madhya Pradesh (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
428.0,2102,VIGNYAN INDUSTRIES LTD.,Organization,1593,Department Of Defence Production,Department
429.0,1195,Vijaya Bank,Organization,1174,Department of Financial Service,Department
430.0,2460,Vishvas Sansthan Udaipur Rajasthan (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
431.0,2461,Vivekananda Global University (A Unit of Bagaria Education Trust) Jaipur Rajasthan (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
432.0,2070,"V-One Society, Gujarat",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
433.0,2331,Watershed Support Services and Activities Network (WASSAN) Hydrabad Telangana,Organization,1560,Department of Drinking Water and Sanitation,Department
434.0,2462,Watershed Support Services and Activities Network (WASSAN) Hydrabad Telangana (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
435.0,2385,We the People New Delhi (NGO),Organization,1560,Department of Drinking Water and Sanitation,Department
436.0,2039,"Wodwichee, Assam",Organization,1617,Department Of Empowerment Of Persons With Disabilities,Department
437.0,1793,YULE ELECTRICAL LTD.,Organization,1602,Department Of Heavy Industry,Department
438.0,1794,YULE ENGINEERING COMPANY LTD.,Organization,1602,Department Of Heavy Industry,Department
439.0,1691,AAI CARGO LOGISTICS & ALLIED SERVICES COMPANY LTD.,Organization,1563,Ministry Of Civil Aviation,Ministry
440.0,1692,AIR INDIA AIR TRANSPORT SERVICES LTD.,Organization,1563,Ministry Of Civil Aviation,Ministry
441.0,2288,AIR INDIA ASSETS HOLDING LTD,Organization,1563,Ministry Of Civil Aviation,Ministry
442.0,1693,AIR INDIA ENGINEERING SERVICES LTD.,Organization,1563,Ministry Of Civil Aviation,Ministry
443.0,1694,AIR INDIA EXPRESS LTD.,Organization,1563,Ministry Of Civil Aviation,Ministry
444.0,1695,AIR INDIA LTD.,Organization,1563,Ministry Of Civil Aviation,Ministry
445.0,1696,AIRLINE ALLIED SERVICES LTD.,Organization,1563,Ministry Of Civil Aviation,Ministry
446.0,1697,AIRPORTS AUTHORITY OF INDIA,Organization,1563,Ministry Of Civil Aviation,Ministry
447.0,1829,AJMER PHAGI TRANSCO LTD.,Organization,492,Ministry of Power,Ministry
448.0,2346,All India Institute of Local Self Government Mumbai,Organization,1559,Ministry of Jal Shakti,Ministry
449.0,1756,ANDAMAN & NICOBAR ISL. FOREST & PLANT.DEV.CORP.LTD,Organization,493,"Ministry of Environment,forests and climate change",Ministry
450.0,2289,APOLLO DESIGN APPAREL PARKS LTD.,Organization,504,Ministry of Textiles,Ministry
451.0,2290,AURANGABAD TEXTILES & APPAREL PARKS LTD.,Organization,504,Ministry of Textiles,Ministry
452.0,1830,BALLABGARH - GN TRANSMISSION CO. LTD.,Organization,492,Ministry of Power,Ministry
453.0,1804,BALMER LAWRIE & CO. LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
454.0,1805,BALMER LAWRIE INVESTMENTS LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
455.0,1701,BHARAT COKING COAL LTD.,Organization,1564,Ministry Of Coal,Ministry
456.0,1806,"BHARAT GAS RESOURCES LTD,",Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
457.0,2292,BHARAT OMAN REFINERIES LIMITED,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
458.0,1809,BHARAT PETROLEUM CORPN. LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
459.0,1807,BHARAT PETRO RESOURCES JPDA,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
460.0,1808,BHARAT PETRO RESOURCES LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
461.0,1899,BHARAT WAGON & ENGG. CO. LTD.,Organization,1163,Ministry of Railways,Ministry
462.0,1831,BHARTIYA RAIL BIJLEE CO. LTD.,Organization,492,Ministry of Power,Ministry
463.0,1832,BHIND GUNA TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
464.0,1833,BIHAR INFRAPOWER LTD.,Organization,492,Ministry of Power,Ministry
465.0,1834,BIHAR MEGA POWER LTD.,Organization,492,Ministry of Power,Ministry
466.0,1835,BIJAWAR-VIDARBHA TRANSMISSION LTD,Organization,492,Ministry of Power,Ministry
467.0,1967,BIRDS JUTE & EXPORTS LTD.,Organization,504,Ministry of Textiles,Ministry
468.0,1810,BPCL-KIAL FUEL FARM PVT. LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
469.0,1900,BRAITHWAITE & CO. LTD.,Organization,1163,Ministry of Railways,Ministry
470.0,1968,BRITISH INDIA CORPORATION LTD.,Organization,504,Ministry of Textiles,Ministry
471.0,1797,BROADCAST ENGG. CONSULTANTS INDIA LTD.,Organization,1575,Ministry Of Information And Broadcasting,Ministry
472.0,1836,BUNDELKHAND SAUR URJA LTD.,Organization,492,Ministry of Power,Ministry
473.0,1901,BURN STANDARD COMPANY LTD.,Organization,1163,Ministry of Railways,Ministry
474.0,1702,CENTRAL COALFIELDS LTD.,Organization,1564,Ministry Of Coal,Ministry
475.0,1969,CENTRAL COTTAGE INDUSTRIES CORPN. OF INDIA LTD.,Organization,504,Ministry of Textiles,Ministry
476.0,1930,CENTRAL ELECTRONICS LTD.,Organization,,,Ministry
477.0,1932,CENTRAL INLAND WATER TRANSPORT CORPN. LTD.,Organization,1580,Ministry Of Shipping,Ministry
478.0,1703,CENTRAL MINE PLANNING & DESIGN INSTITUTE LTD.,Organization,1564,Ministry Of Coal,Ministry
479.0,1811,CERTIFICATION ENGINEERS INTERNATIONAL LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
480.0,1698,CHANDIGARH INTERNATIONAL AIRPORT LTD.,Organization,1563,Ministry Of Civil Aviation,Ministry
481.0,1837,CHANDIL TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
482.0,2103,CHENNAI PETROLEUM CORPORATION LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
483.0,1838,CHEYYUR INFRA LTD.,Organization,492,Ministry of Power,Ministry
484.0,2296,CHHATTISGARH COPPER LTD,Organization,1576,Ministry Of Mines,Ministry
485.0,1704,CHHATTISGARH EAST RAILWAYS LTD.,Organization,1564,Ministry Of Coal,Ministry
486.0,1705,CHHATTISGARH EAST-WEST RAILWAYS LTD.,Organization,1564,Ministry Of Coal,Ministry
487.0,1946,CHHATTISGARH MEGA STEEL CO. LTD.,Organization,1581,Ministry Of Steel,Ministry
488.0,1839,CHHATTISHGARH SURGUJA POWER LTD.,Organization,492,Ministry of Power,Ministry
489.0,1706,COAL INDIA LTD.,Organization,1564,Ministry Of Coal,Ministry
490.0,1840,COASTAL KARNATAKA POWER LTD.,Organization,492,Ministry of Power,Ministry
491.0,1841,COASTAL MAHARASHTRA MEGA POWER LTD.,Organization,492,Ministry of Power,Ministry
492.0,1842,COASTAL TAMIL NADU POWER LTD.,Organization,492,Ministry of Power,Ministry
493.0,1933,COCHIN SHIPYARD LTD.,Organization,1580,Ministry Of Shipping,Ministry
494.0,1902,CONCOR AIR LTD.,Organization,1163,Ministry of Railways,Ministry
495.0,2297,CONCOR LAST MILE LOGISTICS LTD,Organization,1163,Ministry of Railways,Ministry
496.0,1903,CONTAINER CORPORATION OF INDIA LTD.,Organization,1163,Ministry of Railways,Ministry
497.0,1659,Council of Scientific and Industrial Research,Organization,,,Ministry
498.0,2147,Damodar Valley Corporation,Organization,492,Ministry of Power,Ministry
499.0,1904,DEDICATED FRIGHT CORRIDOR CORP. OF INDIA LTD.,Organization,1163,Ministry of Railways,Ministry
500.0,2146,Delhi Metro Rail Corporation,Organization,518,MINISTRY OF HOUSING & URBAN AFFAIRS,Ministry
501.0,1795,DELHI POLICE HOUSING CORPORATION LTD.,Organization,1574,Ministry Of Home Affairs,Ministry
502.0,2298,DEOGHAR AIRPORT LTD,Organization,1563,Ministry Of Civil Aviation,Ministry
503.0,1843,DEOGHAR INFRA LTD.,Organization,492,Ministry of Power,Ministry
504.0,1844,DEOGHAR MEGA POWER LTD.,Organization,492,Ministry of Power,Ministry
505.0,2299,DHALBHUMGARH AIRPORT LTD,Organization,1563,Ministry Of Civil Aviation,Ministry
506.0,2300,DHOLERA INTERNATIONAL AIRPORT,Organization,1563,Ministry Of Civil Aviation,Ministry
507.0,1845,DINGCHANG TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
508.0,1846,DUMKA TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
509.0,1707,EASTERN COALFIELDS LTD.,Organization,1564,Ministry Of Coal,Ministry
510.0,1947,EASTERN INVESTMENT LTD.,Organization,1581,Ministry Of Steel,Ministry
511.0,1812,ENGINEERS INDIA LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
512.0,1948,FERRO SCRAP NIGAM LTD.,Organization,1581,Ministry Of Steel,Ministry
513.0,1905,FRESH & HEALTHY ENTERPRISES LTD.,Organization,1163,Ministry of Railways,Ministry
514.0,1814,GAIL GAS LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
515.0,1813,GAIL (INDIA) LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
516.0,1641,GB Pant National Institute of Himalayan Environment (GBNIHE),Organization,493,"Ministry of Environment,forests and climate change",Ministry
517.0,1847,GHOGARPALLI INTEGRATED POWER COMPANY LTD.,Organization,492,Ministry of Power,Ministry
518.0,2301,GOLDMOHUR DESIGN & APPAREL PARKS LTD.,Organization,504,Ministry of Textiles,Ministry
519.0,1970,HANDICRAFTS & HANDLOOM EXPORTS CORP. OF INDIA LTD.,Organization,504,Ministry of Textiles,Ministry
520.0,1906,HIGH SPEED RAIL CORPORATION OF INDIA LTD.,Organization,1163,Ministry of Railways,Ministry
521.0,1800,HINDUSTAN COPPER LTD.,Organization,1576,Ministry Of Mines,Ministry
522.0,1815,HINDUSTAN PETROLEUM CORPN. LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
523.0,2004,HINDUSTAN PREFAB LTD.,Organization,518,MINISTRY OF HOUSING & URBAN AFFAIRS,Ministry
524.0,2005,HINDUSTAN STEELWORKS COSTN. LTD.,Organization,518,MINISTRY OF HOUSING & URBAN AFFAIRS,Ministry
525.0,1934,HOOGHLY DOCK AND PORT ENGINEERS LTD.,Organization,1580,Ministry Of Shipping,Ministry
526.0,1935,HOOGLY COCHIN SHIPYARD LTD.,Organization,1580,Ministry Of Shipping,Ministry
527.0,1699,HOTEL CORPN. OF INDIA LTD.,Organization,1563,Ministry Of Civil Aviation,Ministry
528.0,2006,HOUSING & URBAN DEV. CORPN. LTD.,Organization,518,MINISTRY OF HOUSING & URBAN AFFAIRS,Ministry
